ES_PRECLUSIÓN,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,AÑO_HECHOS,AÑO_ENTRADA,AÑO_DENUNCIA,DELITO,TOTAL_PROCESOS,shape_leng,shape_area,dpto_narea
NO,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2023,2023,2023,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR REALIZARSE SOBRE REDES O SISTEMAS INFORMATICOS O DE COMUNICACIONES ESTATALES U OFICIALES O DEL SECTOR FINANCIERO, NACIONALES O EXTRANJEROS ART. 269H N1",121,3.76537101301,0.13220788538,1622.8529796
NO,Valle del Cauca,CALI,2021,2021,2021,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,59,12.6568228841,1.67948958582,20665.581324
NO,Sucre,SUCRE,2023,2023,2023,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,8.55910984351,0.87080658833,10591.8002183
NO,Meta,VILLAVICENCIO,2021,2021,2021,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,16,18.1945932784,6.73617147417,82830.3839042
NO,Norte de Santander,CÚCUTA,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,44,10.7038112357,1.79232544093,21856.7542768
NO,Antioquia,ITAGUI,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,150,21.4927974328,5.13510342668,62807.0043767
NO,Antioquia,ITAGUI,2021,2021,2021,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,31,21.4927974328,5.13510342668,62807.0043767
NO,Santander,FLORIDABLANCA,2020,2020,2020,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,50,11.8780221134,2.49910965538,30561.565448
NO,Meta,PUERTO GAITÁN,2022,2022,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,2,18.1945932784,6.73617147417,82830.3839042
NO,Nariño,CHACHAGÜÍ,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,1,12.8395081019,2.54843109135,31497.0335099
NO,Magdalena,ARIGUANÍ,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,2,10.8137685322,1.90926645339,23135.9407566
NO,Santander,FLORIDABLANCA,2023,2023,2023,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,36,11.8780221134,2.49910965538,30561.565448
NO,Risaralda,SANTA ROSA DE CABAL,2022,2022,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,10,4.85153003237,0.28978864568,3556.75006367
NO,La Guajira,MAICAO,2021,2022,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,1,10.792601093,1.70697645445,20620.2390234
NO,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2022,2022,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,17,3.76537101301,0.13220788538,1622.8529796
NO,Valle del Cauca,CALI,2022,2022,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",6,12.6568228841,1.67948958582,20665.581324
